site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
A,88,183,Zero-calorie,598.8571428571429,-395.6351766513057,-20.221966205837134,578.6351766513058,follow
A,89,712,Zero-calorie,612.1428571428572,141.4662058371736,-41.609062980030785,570.5337941628264,follow
A,90,737,Zero-calorie,618.4285714285713,189.1758832565284,-70.60445468509977,547.8241167434716,follow
A,91,827,Zero-calorie,618.9999999999999,175.47081413210446,32.52918586789565,651.5291858678955,follow
A,92,907,Zero-calorie,615.9999999999999,185.07910906298002,105.92089093702009,721.92089093702,follow
A,93,757,Zero-calorie,567.7142857142858,81.29539170506914,107.99032258064506,675.7046082949308,follow
A,94,210,Zero-calorie,583,-376.8522273425499,3.852227342549895,586.8522273425499,follow
A,95,162,Zero-calorie,577,-395.6351766513057,-19.364823348694244,557.6351766513058,follow
A,96,374,Zero-calorie,562.5714285714286,141.4662058371736,-330.0376344086021,232.5337941628264,follow
A,97,844,Zero-calorie,553.2857142857142,189.1758832565284,101.53840245775734,654.8241167434716,follow
A,98,785,Zero-calorie,556.7142857142857,175.47081413210446,52.81490015360987,609.5291858678955,follow
A,99,806,Zero-calorie,559.5714285714286,185.07910906298002,61.34946236559142,620.92089093702,follow
A,100,692,Zero-calorie,621.7142857142857,81.29539170506914,-11.00967741935483,610.7046082949308,follow
A,101,234,Zero-calorie,610.1428571428571,-376.8522273425499,0.7093701996927848,610.8522273425499,follow
A,102,182,Zero-calorie,612,-395.6351766513057,-34.364823348694244,577.6351766513058,follow
A,103,809,Zero-calorie,623.5714285714286,141.4662058371736,43.962365591397884,667.5337941628264,follow
A,104,763,Zero-calorie,633.8571428571429,189.1758832565284,-60.033026113671326,573.8241167434716,follow
A,105,798,Zero-calorie,635.5714285714286,175.47081413210446,-13.04224270353302,622.5291858678955,follow
A,106,887,Zero-calorie,645.4285714285714,185.07910906298002,56.49231950844853,701.92089093702,follow
A,107,764,Zero-calorie,640.7142857142858,81.29539170506914,41.990322580645056,682.7046082949308,follow
A,108,246,Zero-calorie,640.2857142857142,-376.8522273425499,-17.433486943164326,622.8522273425499,follow
A,109,251,Zero-calorie,635.8571428571428,-395.6351766513057,10.77803379416298,646.6351766513058,follow
A,110,776,Zero-calorie,621.8571428571428,141.4662058371736,12.676651305683663,634.5337941628264,preint
A,111,760,Zero-calorie,624.1428571428571,189.1758832565284,-53.31874039938555,570.8241167434716,preint
A,112,767,Zero-calorie,627.4285714285714,175.47081413210446,-35.89938556067591,591.5291858678955,preint
