site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
HF,40,0.09634703196347032,Zero-calorie,0.09170084191838929,0.00394819212851988,6.979979165611383e-4,0.09239883983495042,dismes
HF,41,0.1079295154185022,Zero-calorie,0.09132860878753546,-0.00280360141975294,0.01940450805071969,0.11073311683825517,dismes
HF,42,0.10331930808789154,Zero-calorie,0.0912514662405134,0.00632749412696979,0.00574034772040835,0.09699181396092174,dismes
HF,43,0.06405693950177936,Zero-calorie,0.09112826601745616,-0.00321365395271808,-0.0238576725629587,0.06727059345449744,wash
HF,44,0.1042319749216301,Zero-calorie,0.09215171458133536,0.00239537688574331,0.00968488345455143,0.10183659803588678,wash
HF,45,0.07927927927927927,Zero-calorie,0.08904036112442296,-0.00262918688316839,-0.00713189496197527,0.08190846616244768,wash
HF,46,0.08273381294964029,Zero-calorie,0.08743023154574774,-0.00402462088559356,-6.717977105138856e-4,0.08675843383523385,wash
HF,47,0.10351117191062471,Zero-calorie,0.08934321634060935,0.00394819212851988,0.01021976344149547,0.09956297978210482,wash
HF,48,0.08615004122011542,Zero-calorie,0.08781134157552596,-0.00280360141975294,0.0011423010643424,0.08895364263986837,wash
HF,49,0.09204840103716508,Zero-calorie,0.08783998293364707,0.00632749412696979,-0.00211907602345177,0.0857209069101953,wash
HF,50,0.0774478330658106,Zero-calorie,0.0905892512293823,-0.00321365395271808,-0.00992776421085361,0.08066148701852868,dis
HF,51,0.0935088515660463,Zero-calorie,0.08995778511228007,0.00239537688574331,0.0011556895680229,0.09111347468030298,dis
HF,52,0.07947976878612717,Zero-calorie,0.09271069368012771,-0.00262918688316839,-0.01060173801083215,0.08210895566929557,dis
HF,53,0.1019786910197869,Zero-calorie,0.09659486333945876,-0.00402462088559356,0.00940844856592169,0.10600331190538048,dis
HF,54,0.09909090909090908,Zero-calorie,0.09840566672864633,0.00394819212851988,-0.00326294976625711,0.0951427169623892,dis
HF,55,0.10542040119504908,Zero-calorie,0.09970090056988357,-0.00280360141975294,0.00852310204491846,0.10822400261480204,dis
HF,56,0.11923758865248228,Zero-calorie,0.10139501684003188,0.00632749412696979,0.01151507768548061,0.11291009452551248,dis
HF,57,0.09012345679012346,Zero-calorie,0.10172729466028936,-0.00321365395271808,-0.00839018391744783,0.09333711074284154,dis
HF,58,0.10257548845470692,Zero-calorie,0.10541243305131012,0.00239537688574331,-0.00523232148234649,0.1001801115689636,dis
HF,59,0.09133858267716535,Zero-calorie,0.10863506392333248,-0.00262918688316839,-0.01466729436299872,0.09396776956033376,dis
HF,60,0.1043046357615894,Zero-calorie,0.1086325952944388,-0.00402462088559356,-3.033386472558325e-4,0.10832925664718296,dis
HF,61,0.1248868778280543,Zero-calorie,0.11081555836768028,0.00394819212851988,0.01012312733185413,0.1209386856995344,dis
HF,62,0.12797881729920563,Zero-calorie,0.1107992135651172,-0.00280360141975294,0.01998320515384138,0.1307824187189586,dis
HF,63,0.11922030825022666,Zero-calorie,0.11548814087202264,0.00632749412696979,-0.00259532674876578,0.11289281412325686,dis
HF,64,0.10540419830281376,Zero-calorie,0.11357449160738,-0.00321365395271808,-0.00495663935184817,0.10861785225553185,dis
HF,65,0.10246107483676543,Zero-calorie,0.1111638191155716,0.00239537688574331,-0.01109812116454947,0.10006569795102212,dis
HF,66,0.12416107382550336,Zero-calorie,0.10656044273366562,-0.00262918688316839,0.02022981797500613,0.12679026070867175,dis
HF,67,0.09090909090909093,Zero-calorie,0.10541067877928335,-0.00402462088559356,-0.01047696698459889,0.09493371179468447,dis
HF,68,0.10801217038539554,Zero-calorie,0.10348465124617152,0.00394819212851988,5.793270107041365e-4,0.10406397825687563,dis
HF,69,0.09575518262586376,Zero-calorie,0.09117654738750317,-0.00280360141975294,0.00738223665811355,0.09855878404561672,dis
HF,70,0.11117196056955092,Zero-calorie,0.08536886639662451,0.00632749412696979,0.01947560004595662,0.10484446644258114,dis
HF,71,0.09192200557103064,Zero-calorie,0.08505859646178118,-0.00321365395271808,0.01007706306196754,0.09513565952374872,wash
HF,72,0.01630434782608695,Zero-calorie,0.08205064665517188,0.00239537688574331,-0.06814167571482824,0.01390897094034363,wash
HF,73,0.08350730688935282,Zero-calorie,0.08037020554599994,-0.00262918688316839,0.00576628822652128,0.08613649377252122,wash
HF,74,0.08873720136518772,Zero-calorie,0.07597597848378132,-0.00402462088559356,0.01678584376699996,0.09276182225078128,wash
HF,75,0.08695652173913043,Zero-calorie,0.07520980075014963,0.00394819212851988,0.00779852886046091,0.08300832961061054,wash
HF,76,0.08399209486166008,Zero-calorie,0.0875615794062761,-0.00280360141975294,-7.658831248630732e-4,0.08679569628141302,wash
HF,77,0.08041237113402062,Zero-calorie,0.08184314426059215,0.00632749412696979,-0.00775826725354132,0.07408487700705083,wash
HF,78,0.08655876143560873,Zero-calorie,0.0819742829818215,-0.00321365395271808,0.00779813240650531,0.08977241538832681,wash2
HF,79,0.10276679841897234,Zero-calorie,0.08395226662218357,0.00239537688574331,0.01641915491104545,0.10037142153322902,wash2
HF,80,0.04347826086956521,Zero-calorie,0.08429748747967304,-0.00262918688316839,-0.03819003972693943,0.04610744775273361,wash2
HF,81,0.0896551724137931,Zero-calorie,0.08789188821157909,-0.00402462088559356,0.00578790508780757,0.09367979329938668,wash2
HF,82,0.100802407221665,Zero-calorie,0.08925196174564398,0.00394819212851988,0.00760225334750111,0.0968542150931451,wash2
HF,83,0.08640864086408641,Zero-calorie,0.08628476696259242,-0.00280360141975294,0.00292747532124693,0.08921224228383935,wash2
HF,84,0.10557317625736294,Zero-calorie,0.09350083755375511,0.00632749412696979,0.00574484457663801,0.09924568213039314,wash2
